20120412100220,23,58,15,3,2,5,4,0,3,5,45,14,4,0,0,0,17,1,4.33,10.92,7.63,5.82,17
20120412100240,16,36,12,13,5,21,12,0,2,4,56,13,1,7,0,3,29,6,4.39,10.74,7.96,5.82,17
20120412100300,18,33,5,7,2,31,14,0,2,5,76,14,3,4,0,5,34,12,4.96,12.91,9.26,6.78,18
20120412100320,12,28,5,7,2,19,9,2,4,4,56,14,6,12,2,6,38,8,4.11,10.91,7.95,6.93,19
20120412100340,14,23,9,10,4,34,14,0,5,2,67,12,3,14,0,3,33,10,4.61,11.99,8.72,7.46,19
20120412100400,22,36,13,9,4,21,10,1,2,7,54,16,1,10,0,2,30,5,3.98,10.64,7.95,5.53,17
20120412100420,11,29,6,11,3,27,13,2,3,5,52,21,3,11,2,8,40,4,4.08,10.92,8.15,6.46,17
20120412100440,15,24,8,10,4,23,13,2,2,7,62,10,3,7,3,1,34,6,4.31,11.68,8.19,5.8,17
20120412100500,14,32,10,9,4,52,25,0,1,2,53,18,0,20,0,6,30,3,4.32,11.18,8.53,5.85,18
20120412100520,12,31,11,10,2,28,9,1,1,4,61,21,2,16,1,5,26,11,4.25,11.1,8.3,5.84,17
20120412100540,9,31,16,14,6,18,9,0,1,8,41,16,2,9,0,5,40,4,4.25,11.13,8.15,6.25,15
20120412100600,12,29,8,8,2,30,15,2,2,7,47,23,0,5,1,3,38,9,3.81,9.83,7.52,4.97,18
20120412100620,12,18,5,14,5,34,15,5,0,1,47,17,1,9,5,6,23,10,3.28,8.74,6.82,4.76,18
20120412100640,12,34,11,9,4,36,16,2,2,6,56,18,2,16,2,3,37,7,4.39,11.71,8.66,6.51,17
20120412100700,10,23,6,12,3,17,6,2,3,6,44,22,3,7,1,3,24,6,2.89,7.55,5.61,4.93,17
20120412100840,39,54,20,25,8,67,37,3,4,13,114,29,5,17,4,8,77,23,8.51,22.16,15.91,11.84,16
20120412100900,32,59,15,16,5,50,22,2,4,8,97,24,4,22,2,9,57,19,7.97,20.98,14.88,11.88,16
20120412100920,29,66,13,29,11,53,23,3,3,10,122,39,2,22,1,12,71,21,8.8,22.55,15.98,12.57,17
20120412100940,33,50,23,24,7,43,22,6,4,8,114,36,4,17,4,2,58,9,8.44,21.81,15.32,11.67,17
20120412101000,23,64,18,11,4,42,20,2,3,9,107,40,3,12,6,8,66,18,7.51,19.52,14.04,10.91,16
20120412101020,24,63,17,18,7,56,25,1,3,7,103,42,6,16,1,15,72,20,8.51,22.04,15.83,12.13,16
20120412101040,21,54,10,29,10,62,32,9,5,6,115,35,1,24,8,7,73,19,8.42,21.85,15.34,12.58,17
20120412101100,20,55,17,19,4,51,24,5,1,9,99,29,3,23,6,13,66,19,7.8,20.58,14.65,10.59,15
20120412101120,22,63,15,12,5,60,25,3,3,4,115,33,2,25,1,10,72,12,8.2,21.66,15.48,12.02,16
20120412101140,25,50,16,18,7,63,27,5,3,6,128,43,3,16,4,14,81,21,8.64,21.93,15.98,12.59,16
20120412101200,28,56,5,23,9,54,24,2,1,4,104,39,1,25,4,11,74,17,8.08,20.8,14.92,10.9,15
20120412101220,32,46,17,21,5,48,24,3,4,6,80,26,5,20,4,11,84,26,7.35,18.92,14.23,12.39,17
