20120412100220,23,58,15,3,2,5,4,0,3,5,45,14,4,0,0,0,17,1
20120412100240,16,36,12,13,5,21,12,0,2,4,56,13,1,7,0,3,29,6
20120412100300,18,33,5,7,2,31,14,0,2,5,76,14,3,4,0,5,34,12
20120412100320,12,28,5,7,2,19,9,2,4,4,56,14,6,12,2,6,38,8
20120412100340,14,23,9,10,4,34,14,0,5,2,67,12,3,14,0,3,33,10
20120412100400,22,36,13,9,4,21,10,1,2,7,54,16,1,10,0,2,30,5
20120412100420,11,29,6,11,3,27,13,2,3,5,52,21,3,11,2,8,40,4
20120412100440,15,24,8,10,4,23,13,2,2,7,62,10,3,7,3,1,34,6
20120412100500,14,32,10,9,4,52,25,0,1,2,53,18,0,20,0,6,30,3
20120412100520,12,31,11,10,2,28,9,1,1,4,61,21,2,16,1,5,26,11
20120412100540,9,31,16,14,6,18,9,0,1,8,41,16,2,9,0,5,40,4
20120412100600,12,29,8,8,2,30,15,2,2,7,47,23,0,5,1,3,38,9
20120412100620,12,18,5,14,5,34,15,5,0,1,47,17,1,9,5,6,23,10
20120412100640,12,34,11,9,4,36,16,2,2,6,56,18,2,16,2,3,37,7
20120412100700,10,23,6,12,3,17,6,2,3,6,44,22,3,7,1,3,24,6
20120412100840,39,54,20,25,8,67,37,3,4,13,114,29,5,17,4,8,77,23
20120412100900,32,59,15,16,5,50,22,2,4,8,97,24,4,22,2,9,57,19
20120412100920,29,66,13,29,11,53,23,3,3,10,122,39,2,22,1,12,71,21
20120412100940,33,50,23,24,7,43,22,6,4,8,114,36,4,17,4,2,58,9
20120412101000,23,64,18,11,4,42,20,2,3,9,107,40,3,12,6,8,66,18
20120412101020,24,63,17,18,7,56,25,1,3,7,103,42,6,16,1,15,72,20
20120412101040,21,54,10,29,10,62,32,9,5,6,115,35,1,24,8,7,73,19
20120412101100,20,55,17,19,4,51,24,5,1,9,99,29,3,23,6,13,66,19
20120412101120,22,63,15,12,5,60,25,3,3,4,115,33,2,25,1,10,72,12
20120412101140,25,50,16,18,7,63,27,5,3,6,128,43,3,16,4,14,81,21
20120412101200,28,56,5,23,9,54,24,2,1,4,104,39,1,25,4,11,74,17
20120412101220,32,46,17,21,5,48,24,3,4,6,80,26,5,20,4,11,84,26
20120412101400,58,114,23,21,8,56,36,0,10,17,185,61,9,9,0,6,90,9
20120412101420,61,68,20,25,10,96,44,7,3,10,195,38,2,27,5,7,104,31
20120412101440,33,94,27,26,9,72,38,2,7,11,194,44,9,32,4,12,112,22
20120412101500,46,83,26,36,13,94,46,11,3,11,152,45,2,24,7,18,94,17
20120412101520,26,84,26,43,16,106,44,1,6,7,157,60,4,46,5,19,92,18
20120412101540,39,88,21,34,10,71,31,1,3,6,148,72,7,31,1,17,87,27
20120412101600,30,77,26,25,8,72,35,3,6,14,169,59,3,33,2,13,99,29
20120412101620,34,84,24,34,13,88,38,1,2,1,180,36,1,33,2,10,106,24
20120412101640,30,82,21,20,4,99,43,3,2,8,186,54,4,42,3,25,121,38
20120412101700,22,94,29,24,8,102,51,5,6,14,169,56,6,41,4,15,105,18
20120412101720,37,80,20,31,11,92,41,5,4,14,175,53,3,40,4,21,125,31
20120412101740,27,92,23,30,11,83,37,3,7,8,191,53,8,31,4,15,120,16
20120412101800,20,79,20,33,11,87,38,6,6,7,166,47,6,32,4,19,104,31
20120412101940,73,182,49,17,7,65,39,1,13,30,262,79,15,8,1,6,89,8
20120412102000,90,125,35,41,17,105,56,4,11,19,231,78,9,42,1,9,126,15
20120412102020,72,123,25,29,9,101,55,1,8,18,236,58,7,38,2,15,147,31
20120412102040,53,113,28,27,11,122,61,6,11,13,213,61,10,45,2,13,136,36
20120412102100,52,123,38,43,10,102,47,6,10,19,226,81,13,43,6,14,120,30
20120412102120,47,110,41,32,11,126,55,5,7,6,219,87,8,48,3,21,132,34
20120412102140,56,120,27,32,12,124,54,7,11,9,201,51,9,43,10,28,119,32
20120412102200,52,113,32,29,11,111,50,3,6,18,203,65,7,45,5,26,153,46
